xaxis,yaxis
1.619914741,24.75013321
9.925678379,24.87670585
7.910946161,24.18270225
4.883489212,23.9224121
8.946294388,6.296124556
6.745557907,6.049172848
2.214747845,6.12477049
8.854306239,5.96868547
2.005247372,0.158961558
3.809502125,0.24907353
6.134302315,0.302936388
9.34093521,0.425262105
7.494294653,1.369424769
0.691928296,1.430873373
1.134370003,1.401654169
5.211319679,1.35400753
0.40567531,1.580113283
8.663476472,1.533178094
9.382615415,1.515632053
5.834579513,1.60703771
2.192814131,23.03360047
0.582730448,21.10229562
1.967236699,20.12095728
6.141623618,20.43383762
3.771367591,4.744178401
4.898392687,4.427960113
3.210793679,4.342272052
5.877471366,4.562048512
2.238622283,1.868611029
4.166759789,1.469960972
0.510420843,1.422998378
4.828324838,1.671656923
7.384597922,5.628318688
4.223642171,5.906292005
1.604403646,6.011268671
5.566016701,5.823804338
2.858238162,17.70407968
2.362641976,17.63183305
0.161848984,16.71090435
8.497801233,16.51920992
1.2425395,8.262046031
1.326235643,7.608851293
9.182020423,8.127692863
7.348723161,7.769983423
9.21435632,4.051383481
7.778176051,3.565668218
6.135048721,3.388225879
1.350374484,3.647379147
8.811796211,0.021615102
8.078272745,0.020867637
1.327076641,0.020542078
2.190493122,0.021349926
3.298640171,9.699598963
2.254680214,9.634775755
4.568360605,10.01260969
7.777745887,8.849398302
8.435436082,0.500183373
6.034282696,0.514277812
1.700839838,0.541771234
8.629803192,0.509962226
8.147802625,0.115427271
2.811398489,0.109774087
0.479950821,0.1076731
1.27697149,0.11998056
7.623591694,0.334439662
4.493267926,0.352155282
8.930882629,0.370359878
0.520652891,0.372017166
0.531644424,6.778939404
7.028611458,5.729715977
3.580568489,5.966883548
2.4785961,6.71438251
4.245058746,21.51999548
5.476522424,18.13623374
9.166846698,18.43502476
1.956067328,17.94732981
6.831781744,2.99808943
3.626226178,4.630520322
6.559592959,6.829321287
5.899103144,5.199844019
1.038289583,5.231546645
4.7078609,5.37188996
3.16686621,5.513993843
8.150784577,6.19665215
9.138998336,6.592748741
9.814678555,6.341938992
1.93864254,6.556549631
1.567001499,6.682510398
8.314697877,1.473195826
5.512872289,1.495185156
2.010602381,1.721708659
7.004361606,1.670904302
2.886952318,5.955019687
8.721992309,7.095328783
2.246224927,7.320035624
3.244629903,6.07721021
2.221211894,1.412189336
1.610970231,1.459841011
1.251534509,1.547659087
5.846477026,1.599499039
1.496043521,1.990428942
7.209454624,1.866522375
7.29245477,2.113414545
9.113898509,2.191393564
8.413916944,5.871114076
1.594981848,5.833678079
7.23303893,5.430338453
2.086860918,5.580177618
2.453967255,26.33827137
9.236832812,22.14902862
7.582063024,21.8732221
2.840876623,24.39201338
9.048913307,0.606778515
6.319292584,0.549145981
0.924772999,0.677145031
8.693940977,0.766205619
0.28165477,2.530551369
3.640962353,2.192294586
0.96292158,2.555293381
7.0195383,2.323345006
4.311561003,0.054828457
2.826971281,0.053809109
8.638433318,0.059398336
0.149443818,0.063127814
9.795994339,16.36616459
2.820600082,15.08909766
7.919865518,14.58905354
9.76964825,14.13581338
9.837327363,5.281605848
1.686129541,5.372291182
8.421910574,4.952499256
8.905603252,4.625229924
0.847673363,4.316439805
6.924748087,3.969434147
0.992743931,4.24672531
8.093570586,4.61644538
8.642520364,5.311151855
1.630952725,5.778143184
1.2850108,6.172488876
0.022163099,6.710301991
9.283955689,0.356768972
6.453108269,0.297496879
5.898013442,0.292351513
5.957779064,0.312877703
5.561539715,0.283310454
1.323831766,0.332458227
6.765464864,0.325727347
9.41468583,0.268091793
3.918205548,0.34155941
4.615048793,0.431598927
7.157667535,0.473472226
2.10005944,0.538098379
1.596645774,1.451147307
2.101731785,1.484764251
7.475172338,1.711390678
5.377647079,1.560629099
6.590652197,0.181858212
3.529534125,0.177475819
7.216641068,0.188940811
9.679849889,0.220233473
8.835837029,0.591177784
6.689929845,0.625391176
3.192498036,0.598231164
6.985749934,0.859061433
3.683012352,1.880064504
9.706755052,1.693682921
1.194259802,1.665177867
3.143580608,1.704974495
5.672578352,2.696438401
2.053103548,2.646355786
6.749394553,3.392291813
3.987254063,3.172315091
9.57965024,11.22444969
8.904386096,10.33528599
8.14232757,10.17344935
5.00033816,10.30493107
5.396107274,7.929771311
4.37071651,7.438338502
5.969401371,6.983907546
2.083839474,6.735375823
4.766636612,11.24012897
9.526466823,10.30516177
5.843811922,10.61336839
4.078606736,10.43108813
7.055190516,9.525658763
0.397561196,8.803954839
4.831446453,9.179816838
6.683443858,8.917832846
2.716240151,0.615968351
7.15915521,0.563399208
5.87221386,0.622346841
8.730994498,0.561940931
6.186521039,1.81071091
0.182501744,1.807803366
3.377406474,1.906487557
1.075838095,1.746141565
7.973085565,8.547356106
2.247300946,8.05955954
0.53947107,8.394657734
2.974480783,7.248328717
2.869414093,2.222311005
5.142659366,2.103476066
2.173035342,2.158413689
0.136326464,2.182907888
8.213260744,3.205182841
7.658459691,3.428471639
0.742962032,3.309911831
9.143941369,3.316037892
6.110911538,2.064521305
4.556638757,2.355257087
7.257228123,2.293303404
4.954009054,2.354017387
3.884905287,2.491853031
2.556453341,2.462249164
9.951916329,2.494817067
1.173132558,2.635115225
1.147836812,0.092069391
5.486344171,0.111761081
7.58880038,0.109470529
8.540651014,0.108718365
0.456292314,7.16545181
9.549085706,6.216973378
5.143902477,5.815786526
9.649929337,5.790764234
5.563072475,13.08183443
9.14618901,11.04896311
4.55810742,13.77319664
2.974273513,14.04988252
3.881381171,0.076668381
4.798344095,0.076906232
6.688329829,0.07559157
2.470529876,0.083943117
9.130384606,10.65165217
1.167954956,9.958628519
0.316578758,11.53084023
7.942844066,10.1640461
4.724323552,1.278570124
3.057872359,0.994392232
7.630070827,1.505259596
6.30880925,1.424813248
2.425707489,5.774521922
9.501729932,5.511405389
7.613109818,5.496706655
2.086359992,5.185043424
1.509674419,12.97012071
0.839195698,11.8429021
1.766638165,12.9866782
