SEQ,Kotak Standard Multicap Fund - Growth - Direct,Kotak Bluechip Fund - Growth - Direct
488,0.86282405,0.843459444
489,0.866229215,0.846743589
490,0.870479457,0.852001868
491,0.876245868,0.858431493
492,0.877314642,0.859518909
493,0.880670097,0.861193823
494,0.873834912,0.853570959
495,0.866229215,0.844528616
496,0.86849104,0.845878764
497,0.870653444,0.848115631
498,0.873536649,0.849994891
499,0.87540079,0.854198596
500,0.875674198,0.854742304
501,0.872045336,0.851855906
502,0.865881242,0.846750887
503,0.873561504,0.855424676
504,0.875624487,0.856322342
505,0.876892103,0.856249361
506,0.872915269,0.853840989
507,0.875003107,0.857063099
508,0.873089255,0.852217162
509,0.868863868,0.846747238
510,0.869758656,0.847418663
511,0.86225238,0.840168002
512,0.849874481,0.832136445
513,0.849128825,0.830808191
514,0.855566326,0.835092175
515,0.866726319,0.847550028
516,0.869087565,0.852246355
517,0.868739592,0.853611099
518,0.869609525,0.854351856
519,0.87763776,0.86454365
520,0.877712326,0.866411963
521,0.869584669,0.856530338
522,0.861581289,0.849662828
523,0.857331047,0.845156252
524,0.85201203,0.842587322
525,0.850545572,0.839689977
526,0.847314394,0.835851177
527,0.842567047,0.829246398
528,0.840926603,0.828527536
529,0.849625929,0.837854505
530,0.85482067,0.843298886
531,0.856162851,0.844649034
532,0.862973181,0.852738976
533,0.86053737,0.849494972
534,0.862078393,0.84965553
535,0.862476077,0.850246676
536,0.869584669,0.855888106
537,0.883404171,0.867623447
538,0.889220292,0.872608048
539,0.890139935,0.873414488
540,0.890065369,0.872243143
541,0.901001665,0.883266921
542,0.909527005,0.892156004
543,0.912658763,0.894268804
544,0.910918897,0.893535345
545,0.917232123,0.89819518
546,0.920686998,0.899581819
547,0.9254592,0.904898483
548,0.924614123,0.903781874
549,0.921159247,0.898107603
550,0.912609052,0.888952139
551,0.923247086,0.898764432
552,0.921830338,0.896717315
553,0.93289091,0.908065858
554,0.937513981,0.912868007
555,0.93965153,0.915013647
556,0.941441106,0.916163098
557,0.933686277,0.909237203
558,0.930330823,0.905934813
559,0.935525564,0.911963042
560,0.929808863,0.90740538
561,0.93398454,0.911142006
562,0.92946089,0.905405701
563,0.929063207,0.905445841
564,0.934431934,0.910959554
565,0.937389705,0.914853089
